,Strahler_order,number_of_branches,branch_length (sd),branch_diameter (sd),number_of_daughter_branches,length_to_diameter_ratio,branching_angle,length_ratio,diameter_ratio,branching_ratio
0,1,17772,0.82 (0.44),0.07 (0.0),17772,11.55 (6.12),51.82 (32.47),0.97 (0.42),0.67 (0.04),
1,2,6441,1.01 (0.43),0.11 (0.0),6441,9.6 (4.11),47.81 (27.37),0.87 (0.38),0.67 (0.03),
2,3,2613,1.31 (0.45),0.16 (0.0),2613,8.35 (2.86),44.12 (22.3),0.87 (0.33),0.67 (0.02),
3,4,1088,1.68 (0.54),0.23 (0.0),1088,7.28 (2.34),43.04 (20.84),0.87 (0.29),0.67 (0.03),
4,5,460,2.17 (0.97),0.35 (0.08),460,6.25 (1.95),41.61 (17.69),0.85 (0.34),0.67 (0.05),
5,6,183,2.91 (0.89),0.51 (0.05),183,5.73 (1.78),41.03 (17.09),0.84 (0.52),0.66 (0.07),
6,7,81,4.82 (5.29),0.82 (0.23),81,5.53 (3.03),52.07 (24.93),1.12 (1.66),0.6 (0.15),
7,8,35,5.61 (5.13),1.41 (0.37),35,3.79 (2.91),70.91 (23.41),0.74 (1.29),0.66 (0.18),
8,9,19,18.35 (12.82),1.94 (0.36),19,9.47 (6.99),52.98 (31.03),1.72 (1.97),0.78 (0.19),
9,10,3,25.5 (15.06),3.36 (0.94),3,9.35 (6.3),46.93 (19.55),2.11 (1.32),0.97 (0.21),
10,11,1,11.25 (0.0),3.0 (0.0),1,3.75 (0.0),40.61 (0.0),1.4 (0.0),0.83 (0.0),
11,,28696,1.01 (0.94),0.11 (0.11),28696,10.51 (5.51),49.68 (30.05),0.93 (0.41),0.67 (0.04),0
